# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    4.287255e-02   3.657000e+21      1.10339       64.340
    1.989414e-02   3.070000e+21      1.11808       47.190
    4.313879e-01   4.927000e+21      1.28070       72.120
    3.721849e-01   5.323000e+21      1.81683       24.330
    9.791201e-03   4.040000e+21      1.13542       15.490
    5.102731e-02   3.934000e+21      1.14446       46.810
    2.925263e-01   3.439000e+21      1.38674       37.020
    3.860543e-01   7.754000e+21      1.26747       70.700
    1.700012e-02   2.873000e+21      1.16739       27.180
    3.011106e-01   9.142000e+21      1.21954       37.850
    7.225485e-02   4.468000e+21      1.20103       44.510
    2.148900e-01   5.392000e+21      1.37129       48.280
    7.079687e-01   7.469000e+21      1.27715       58.890
    1.403050e-01   6.093000e+21      1.27179       39.870
    2.759560e-01   5.601000e+21      1.15395       77.870
    1.566739e+00   3.545000e+22      1.94189       24.820
    7.755713e-02   3.723000e+21      1.10167       88.190
    2.858339e-01   4.434000e+21      1.19696       65.790
    5.193885e-01   4.362000e+21      1.42297       31.780
    8.404071e-02   2.660000e+21      1.39248       38.500
    1.926222e-01   9.417000e+21      1.19890       27.830
    9.205880e-02   4.206000e+21      1.23117       37.270
    4.775893e-02   4.022000e+21      1.15818       30.980
    4.427838e-01   4.905000e+21      1.58756       29.450
    1.292227e-02   5.172000e+21      1.16682       27.110
    7.433265e-02   4.909000e+21      1.20778       43.270
    7.487196e-01   6.697000e+21      1.23548       78.860
    1.128501e-02   2.296000e+21      1.18493       27.860
    1.805459e-01   6.159000e+21      1.21578       43.210
    4.039793e-02   3.379000e+21      1.19627       45.530
    1.313359e-02   3.421000e+21      1.12654       35.370
    2.192121e-03   3.044000e+21      1.13216       15.760
    1.200197e-01   8.206000e+21      1.29576       21.160
    1.153195e-01   4.235000e+21      1.28548       34.620
    9.748150e-02   3.752000e+21      1.33502       32.210
    1.412350e-01   4.119000e+21      1.18101       79.810
    1.390939e-01   7.320000e+21      1.23675       51.180
    1.139610e-01   3.645000e+21      1.15759       65.030
    2.026716e-01   1.441000e+22      1.27065       34.170
    1.001437e-01   5.098000e+21      1.23754       51.160
    4.435677e-02   3.342000e+21      1.27298       28.830
    5.531925e-01   1.118000e+22      1.29544       46.070
    9.502647e-02   5.464000e+21      1.23646       38.500
    1.163816e-01   3.810000e+21      1.14698       64.190
    2.223691e-01   1.049000e+22      1.16397       49.910
    6.938340e-02   6.552000e+21      1.32509       36.520
    1.708946e-01   1.576000e+22      1.52722       22.000
    2.482083e-02   3.966000e+21      1.13676       38.270
    1.132417e+01   2.227000e+22      1.65604       17.950
    1.583025e+00   5.208000e+21      1.27343       25.310
    1.247855e-01   5.096000e+21      1.20938       64.400
    1.065545e-01   4.828000e+21      1.19961       52.760
    4.861297e-02   8.877000e+21      1.32004       29.840
    1.244378e-01   3.686000e+21      1.22160       67.730
    8.773132e-03   4.935000e+21      1.17234       27.180
    1.091740e+00   9.213000e+21      1.42646       41.580
    4.463392e-02   3.429000e+21      1.19026       36.130
    1.702052e-01   3.997000e+21      1.27921       46.320
    3.691934e-03   2.533000e+21      1.18275       16.800
    7.974583e-02   3.436000e+21      1.32887       40.350
    9.662496e-02   3.674000e+21      1.23745       41.380
    7.012848e-02   3.414000e+21      1.17068       51.440
    6.830433e-02   5.787000e+21      1.11102      100.400
    9.173662e-03   2.004000e+21      1.24815       19.410
    8.245266e-02   3.093000e+21      1.17003       41.120
    4.115709e-02   5.183000e+21      1.25970       29.250
    3.590133e-01   9.948000e+21      1.24749       54.190
    5.279442e-02   3.963000e+21      1.15862       54.500
    6.629894e-02   3.372000e+21      1.23574       34.540
    4.766854e-02   3.534000e+21      1.17564       37.540
    2.485516e-01   8.012000e+21      1.16687       60.930
    2.372160e-01   9.715000e+21      1.20648       47.310
    8.887790e-02   4.647000e+21      1.24640       33.590
    2.749145e-02   2.867000e+21      1.39100       18.790
    2.532545e-01   9.454000e+21      1.41834       40.240
    4.691460e-02   3.167000e+21      1.25286       40.130
    9.302418e-02   4.346000e+21      1.20295       60.710
    2.598686e-02   3.176000e+21      1.26590       23.080
    1.438839e-01   6.127000e+21      1.28415       41.700
    6.500737e-02   5.134000e+21      1.16963       48.230
    1.632184e-01   7.571000e+21      1.27539       42.970
    1.544447e-02   5.368000e+21      1.21777       21.010
    7.940394e-02   4.466000e+21      1.15672       74.510
    4.047790e-01   5.328000e+21      1.45927       36.830
    4.731109e-01   3.360000e+21      1.25899      104.500
    1.219519e-01   5.790000e+21      1.21520       44.440
    9.529435e-02   5.890000e+21      1.51698       28.990
    3.974388e-02   3.661000e+21      1.18845       35.920
